Activity Master: Activity Master Number,Activity Master: ID,Zone,Activity Code,Activity Name,Activity Name (Arabic),Status,Minimum Share Capital,License Type,License Type (Arabic),Is Not Allowed for Coworking(ESR),RAKEZ HSE Risk Classification,Compliance Risk Rating -RR,Is Special,Activity Price,Activity Group,Activity Group (Arabic),GICS Business Sector,GICS Subsector,Segment Name English,Segment Name Arabic,Description,Description (Arabic),Qualification Requirement,Documents Required
AM-07077,a0v4H00000fYcSB,Non-Freezone,1104903,(Alcherp) mobilization of honey and drink Center,تعبئة العسل والشراب المركز (الشيرة),Inactive,"150,000",Industrial,صناعية,-,,,Standard,,Industrial,صنــــــــاعيـــة,Consumer Staples,Food & Beverages,,,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority, RAK Municipality-Public Health Department"
AM-08322,a0v4H00000fYcmG,Non-Freezone,8522006,(Nursery)Medical Secondary Education,التعليم الثانوي الطبي (التمريض),Active,,Professional,مهنية,-,High,,Standard,,Education services,خدمات التعليم,,,Education services,خدمات التعليم,,,Certified_Academic_Degree,"Ministry of Education, Ministry of Health & Prevention"
AM-08410,a0v4H00000g5maR,Non-Freezone,4659314,(UAS trading (wholesale,تجارة الطائرات بدون طيار – بالجملة,Active,,Commercial,تجارية,-,Low,,Standard,,Airplanes Trading,تجارة الطائرات,,,,,"shall include selling in the local market or importing from outside the country for all types of drones that are flying remotely without a manned pilot for the purpose of entertainment or commercial or private such as photography, video shooting, mapping, inspection, mail/product delivery. This activity shall also include UAS operating systems and UAS spare parts.",يشمل الاتجار بالجملة فى السوق المحلية او عن طريق الاستيراد من الخارج لجميع أنواع الطائرات اللاسلكية التي تعمل بدون طيار والتي يتم التحكم فيها عن بعد وذلك لإستخدامها في الأغراض الترفيهية أو التجارية أو الخاصة مثل التصوير الفوتوغرافي والفيديو والمسح الجوى و رسم الخرائط، التصوير الهندسي والتفتيش وتوصيل الطرود او السلع أو كل مايمكن نقله جوا أو التى تستخدم فى عمليات الرش أو المراقبة الأمنية وحماية الحياة البرية وغيرها من الخدمات الاخرى ويشمل ذلك النشاط أنظمة التشغيل لتلك الطائرات و قطع الغيار الخاصة بتلك الأنواع من الطائرات,,Department of Civil Aviation
AM-08385,a0v4H00000g3dsV,Freezone,369930,3D Printing Manufacturing (Additive Manufacturing),صناعة المنتجات بواسطة الطباعة ثلاثية الأبعاد,Active,,Industrial,صناعية,-,Low,,Standard,,Other metal industries,صناعات معدنية اخرى,Information Technology,Software & Services,,,"Includes firms specialized in conducting additive manufacturing or 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry",يشمل المنشآت المتخصصة في الصناعة التجميعية للمنتجات عن طريق الطباعة ثلاثية الأبعاد والتي تتمثل في تصميم نموذج أولي للمنتج ثلاثي الابعاد على برنامج الاوتوكاد ثم تقوم الطابعة بتحويله إلى المجسم المطلوب عبر إضافة طبقات فوق طبقات من مساحيق الخامات المختلفة كالمعادن والبلاستيك والمطاطوالسيليكون والسيراميك، ويشمل ذلك إستخدام هذه التقنية في مختلف الصناعات كالمجوهرات، الأجزاء الصناعية، السيارات، الطائرات، طب الأسنان والصناعات الطبية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-08386,a0v4H00000g3dsk,Non-Freezone,369930,3D Printing Manufacturing (Additive Manufacturing),صناعة المنتجات بواسطة الطباعة ثلاثية الأبعاد,Inactive,,Industrial,صناعية,-,Low,,Standard,,Industrial,صناعية,Information Technology,Software & Services,,,"Includes firms specialized in conducting additive manufacturing or 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry",يشمل المنشآت المتخصصة في الصناعة التجميعية للمنتجات عن طريق الطباعة ثلاثية الأبعاد والتي تتمثل في تصميم نموذج أولي للمنتج ثلاثي الابعاد على برنامج الاوتوكاد ثم تقوم الطابعة بتحويله إلى المجسم المطلوب عبر إضافة طبقات فوق طبقات من مساحيق الخامات المختلفة كالمعادن والبلاستيك والمطاطوالسيليكون والسيراميك، ويشمل ذلك إستخدام هذه التقنية في مختلف الصناعات كالمجوهرات، الأجزاء الصناعية، السيارات، الطائرات، طب الأسنان والصناعات الطبية.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-09224,a0v8e000000kwXq,Freezone,RAKEZ9001029,Abrasive & Minerals Trading,تجارة المواد الكاشطة والمعادن,Active,,Commercial,تجارية,-,Low,,Standard,,Metals & its products trading,تجارت المعادن ومنتجاتها,Industrials,Trading Companies & Distributors,,,,,,
AM-09136,a0v4K000002Ij2z,Freezone,RAKEZ9001017,Academic Center,خدمات دعم التدريب الاداري,Inactive,,Educational,تعليمية  ,-,High,High,Standard,,Higher Education Provider,خدمات التعليم العالي,Education,Higher Education Provider,,,,,Certified_Academic_Degree,Ministry of Education - Higher Education Affairs
AM-03668,a0v580000018MIC,Freezone,RAKEZ /2017/24,Academic Liaison Office,مكتب اتصال أكاديمي,Active,,Educational,تعليمية  ,-,Low,,Standard,"8,500",Educational Consulting Services,خدمات الإستشارات التعليمية,Education,Educational Consulting Services,,,"This is an office established by international academic institutions to represent and boost ties and to facilitate academic exchange with local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out teaching, admission services or commercial activities.",هو المكتب الذي تؤسسه المؤسسات الأكاديمية العالمية بغرض تمثيلها وترقية التعاون والتبادل الأكاديمي بينها وبين الجهات الأكاديمية بالإمارة، كما يشمل تعريف الطلاب والمؤسسات الأكاديمية بالجامعات الممثلة في هذا المكتب وأنشطتها وتخصصاتها، لا يسمح لهذا المكتب ممارسة التدريس، خدمات القبول، أو مزاولة أي أعمال تجارية.,,"Academic Zone, this activity is not allowed for Coworking"
AM-07656,a0v4H00000fYcbW,Non-Freezone,2816010,Access Cradles Manufacturing,صناعة حمالات التوصيل لصيانة الأبنية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Equipment and Machinery industry,صناعة الآلات والأجهزة,Industrials,Machinery & Equipment,Equipment and Machinery industry,صناعة الآلات والأجهزة,,,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
AM-03697,a0v580000018MIf,Freezone,2816010,Access Cradles Manufacturing,صناعة حمالات التوصيل لصيانة الابنية,Active,"150,000",Industrial,صناعية,-,Low,,Standard,,Equipment and engines manufacturing,صناعة المعدات والمحركات,Industrials,Machinery & Equipment,,,"Includes manufacturing suspended access cradles for cleaning and maintaining multi-storey buildings, the process involves cutting and fixing steel and aluminium bars and sections to fabricate the components, including roof mounted davit jibs, gantries, trolley units and monorails, as well as fixing electrical motors and safety equipment.",يشمل صناعة الحمالات المعلقة التي تستخدم لتوصيل عمال الصيانة والتنظيف لصيانة الأدوار العلوية من الابنية العالية، ويشمل هذا النشاط القيام بتقطيع ألواح ومقاطع الحديد والألمنيوم وتجميعها لصناعة الحمالات أو الأقفاص، بالإضافة إلى تصنيع قواعد الحمالات والرافعات التي تعلق عليها والسكك الحديدية التي تتحرك عليها، كما يشمل ذلك تركيب الرافعات والمحركات الكهربائية والحبال المعدنية ومعدات السلامة وما إليها.,,"Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority"
