Activity Master: Activity Master Number	Activity Master: ID	Zone	Activity Code	Activity Name	Activity Name (Arabic)	Status	Minimum Share Capital	License Type	License Type (Arabic)	Is Not Allowed for Coworking(ESR)	RAKEZ HSE Risk Classification	Compliance Risk Rating -RR	Is Special	Activity Price	Activity Group	Activity Group (Arabic)	GICS Business Sector	GICS Subsector	Segment Name English	Segment Name Arabic	Description	Description (Arabic)	Qualification Requirement	Documents Required
AM-08385	a0v4H00000g3dsV	Freezone	369930	3D Printing Manufacturing (Additive Manufacturing)	صناعة المنتجات بواسطة الطباعة ثلاثية الأبعاد	Active		Industrial	صناعية	-	Low		Standard		Other metal industries	صناعات معدنية اخرى	Information Technology	Software & Services			Includes firms specialized in conducting additive manufacturing or 3D printing through creating designs of objects with AutoCAD software, then the printer creates a three-dimensional object using lasers to fuse powdered materials together layer by layer, the powdered materials involve metal, plastic, rubber, silicon, ceramic, such technology involves different products and parts such as, jewelry, industrial parts, vehicles, dental and medical industry	يشمل المنشآت المتخصصة في الصناعة التجميعية للمنتجات عن طريق الطباعة ثلاثية الأبعاد والتي تتمثل في تصميم نموذج أولي للمنتج ثلاثي الابعاد على برنامج الاوتوكاد ثم تقوم الطابعة بتحويله إلى المجسم المطلوب عبر إضافة طبقات فوق طبقات من مساحيق الخامات المختلفة كالمعادن والبلاستيك والمطاطوالسيليكون والسيراميك، ويشمل ذلك إستخدام هذه التقنية في مختلف الصناعات كالمجوهرات، الأجزاء الصناعية، السيارات، الطائرات، طب الأسنان والصناعات الطبية.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-09224	a0v8e000000kwXq	Freezone	RAKEZ9001029	Abrasive & Minerals Trading	تجارة المواد الكاشطة والمعادن	Active		Commercial	تجارية	-	Low		Standard		Metals & its products trading	تجارت المعادن ومنتجاتها	Industrials	Trading Companies & Distributors						
AM-09136	a0v4K000002Ij2z	Freezone	RAKEZ9001017	Academic Center	خدمات دعم التدريب الاداري	Inactive		Educational	تعليمية  	-	High	High	Standard		Higher Education Provider	خدمات التعليم العالي	Education	Higher Education Provider					Certified_Academic_Degree	Ministry of Education - Higher Education Affairs
AM-03668	a0v580000018MIC	Freezone	RAKEZ /2017/24	Academic Liaison Office	مكتب اتصال أكاديمي	Active		Educational	تعليمية  	-	Low		Standard	8,500	Educational Consulting Services	خدمات الإستشارات التعليمية	Education	Educational Consulting Services			This is an office established by international academic institutions to represent and boost ties and to facilitate academic exchange with local counterparts; also, educating local students and academic institutions of partners’ universities and their activities and specializations, such office is not allowed to carry out teaching, admission services or commercial activities.	هو المكتب الذي تؤسسه المؤسسات الأكاديمية العالمية بغرض تمثيلها وترقية التعاون والتبادل الأكاديمي بينها وبين الجهات الأكاديمية بالإمارة، كما يشمل تعريف الطلاب والمؤسسات الأكاديمية بالجامعات الممثلة في هذا المكتب وأنشطتها وتخصصاتها، لا يسمح لهذا المكتب ممارسة التدريس، خدمات القبول، أو مزاولة أي أعمال تجارية.		Academic Zone, this activity is not allowed for Coworking
AM-03697	a0v580000018MIf	Freezone	2816010	Access Cradles Manufacturing	صناعة حمالات التوصيل لصيانة الابنية	Active	150,000	Industrial	صناعية	-	Low		Standard		Equipment and engines manufacturing	صناعة المعدات والمحركات	Industrials	Machinery & Equipment			Includes manufacturing suspended access cradles for cleaning and maintaining multi-storey buildings, the process involves cutting and fixing steel and aluminium bars and sections to fabricate the components, including roof mounted davit jibs, gantries, trolley units and monorails, as well as fixing electrical motors and safety equipment.	يشمل صناعة الحمالات المعلقة التي تستخدم لتوصيل عمال الصيانة والتنظيف لصيانة الأدوار العلوية من الابنية العالية، ويشمل هذا النشاط القيام بتقطيع ألواح ومقاطع الحديد والألمنيوم وتجميعها لصناعة الحمالات أو الأقفاص، بالإضافة إلى تصنيع قواعد الحمالات والرافعات التي تعلق عليها والسكك الحديدية التي تتحرك عليها، كما يشمل ذلك تركيب الرافعات والمحركات الكهربائية والحبال المعدنية ومعدات السلامة وما إليها.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
AM-01852	a0v580000018Lou	Freezone	7412-02	Accounting & Bookkeeping	تنظيم السجلات والدفاتر المحاسبية ومسكها	Active		Services	خدمية	ESR	Low		Special	5,000	Accounts	الحسابات	Industrials	Professional Services			Includes the offices specialized in setting and designing accounting systems for companies and firms, designing accounting documents, records and books, setting documentary cycles or other accounting processes. These offices offer services against fixed fees, but may not examine or audit accounts.	يشمل المكاتب المختصة بالقيام بوضع وتصميم الأساليب المحاسبية للشركات والمؤسسات وكذلك تصميم نماذج المستندات المحاسبية والسجلات والدفاتر المستخدمة ووضع الدورات المستندية أو غيرها من العمليات المحاسبية بحيث تؤدي هذه المكاتب خدماتها للغير مقابل أجر معين ولايجوز لهذه المكاتب مزاولة عمليات فحص الحسابات وتدقيقها أو مراجعتها.	Certified_Academic_Degree	Business Plan to be Reviewed and Approved by Sales Director,Designated Non-Financial Business or Profession (DNFBP),Certified Academic Degree,'Mandatory RAKEZ Visa within 6 months of the License Issuance". Activity Not Allowed for Flexi Units.
AM-03521	a0v580000018MFp	Freezone	809044	Accounting Training	التدريب على المحاسبة	Active		Educational	تعليمية  	-	Low		Standard	10,000	Training Institute	معهد تدريب	Education	Training Institute			Includes providing training on maintaining, auditing and recording financial transactions, including, accounting auditing, bookkeeping, tax accounting.	يشمل التدريب على عمليات تصحيح ومراجعة الحسابات وتسجيل المعاملات المالية، ويشمل ذلك مراجعة الحسابات، مسك الدفاتر، المحاسبة الضريبية .		Academic Zone
AM-09155	a0v4K000001aprd	Freezone	6920001	Accounts Auditing	تدقيق ومراجعة الحسابات	Inactive		Services	خدمية	-	Low		Standard		Accounting Activities	الأنشطة المحاسبية	Industrials	Professional Services			Includes offices specialized in practicing accounting services and qualified to audit accounts of companies and firms and make comprehensive examination and auditing of all kinds of accounts, records and accounting books of an establishment, the outcome of its business, reports on its financial position.	يشمل المكاتب المختصة بمزاولة الأعمال المحاسبية والمؤهلة   للقيام بعمليات مراجعة حسابات الشركات والمؤسسات وإجراء   الفحص والتدقيق الشامل لجميع أنواع الحسابات والسجلات   والدفاتر المحاسبية لمنشأة ما ونتائج أعمالها وإعداد   التقارير المتعلقة بإظهار وضعها المالي, بالإضافة إلى   إختصاص هذه المكاتب بالقيام بسائر أعمال المحاسبة بفروعها  المختلفة وكذلك تقديم الإستشارات المحاسبية.	Certified_Academic_Degree	Ministry of Economy,Signed: Designated Non-Financial Business or Profession (DNFBP)
AM-01853	a0v580000018Lov	Freezone	5149-08	Acids & Alkalines Trading	تجارة الأحماض والقلويات	Active		Commercial	تجارية	-	Medium		Standard		Chemicals trading	تجارة الكيماويات	Industrials	Trading Companies & Distributors			Includes reselling acids and alkalines for producing other industrial products and compounds.	هي إعادة بيع الأحماض والقلويات المستخدمة في الأغراض الصناعية لإستخدامها في إنتاج منتجات أو مركبات صناعية أخرى.		For Warehouse & Land: Department of Civil Defense, General Resources Authority-CCTV
AM-03698	a0v580000018MIg	Freezone	242209	Adhesive & Paper Slitting	تقطيع مواد اللصق والورق	Active	150,000	Industrial	صناعية	-	Medium		Standard		Manufacturing of chemicals	صناعة الكيماويات	Materials	Paper & Forest Products			Includes using slitting machines to cut large rolls of adhesives and papers into narrower rolls.	يشمل عمليات تقطيع لفائف مواد اللصق والورق الكبيرة إلى لفائف أقل حجما.		Environment Protection & Development Authority, Department of Civil Defense, CCTV Certificate from General Resources Authority
